21626|67|single|650402|573124|Gleyber Torres singles on a sharp ground ball to left fielder Trevor Larnach. DJ LeMahieu to 3rd. Aaron Judge to 2nd.
42008|20|field_out|467793|571760|Carlos Santana bunt grounds out to catcher Max Stassi. Carlos Santana out on batter interference.
21628|20|field_out|467793|571760|Carlos Santana bunt grounds out to catcher Max Stassi. Carlos Santana out on batter interference.
21632|12|single|641796|640455|Tim Locastro singles on a ground ball to right fielder Seth Brown. Nick Ahmed to 3rd.
42012|12|single|641796|640455|Tim Locastro singles on a ground ball to right fielder Seth Brown. Nick Ahmed to 3rd.
21660|18|field_out|514917|643290|Cesar Hernandez flies out to center fielder Dillon Thomas.
42040|18|field_out|514917|643290|Cesar Hernandez flies out to center fielder Dillon Thomas.
21690|72|field_out|608070|608665|Jose Ramirez grounds out, second baseman Dylan Moore to first baseman Ty France.
42070|72|field_out|608070|608665|Jose Ramirez grounds out, second baseman Dylan Moore to first baseman Ty France.
36048|26|single|592192|666201|Mark Canha singles on a sharp ground ball to third baseman Isiah Kiner-Falefa. Riley Greene to 3rd.
38943|17|force_out|643289|693433|Mauricio Dubón grounds into a force out, second baseman Leo Rivas to shortstop J.P. Crawford. Zach Dezenzo out at 2nd. Mauricio Dubón to 1st.
30262|64|single|592273|644364|Brandon Drury singles on a soft ground ball to pitcher Victor Arano.
33214|51|field_out|650402|642048|Gleyber Torres grounds out to catcher Tom Murphy. Gleyber Torres out on batter interference.
39003|59|field_out|521692|682825|Salvador Perez grounds out sharply, shortstop Elly De La Cruz to first baseman Spencer Steer.
33225|50|double|680911|641835|Owen Miller doubles (10) on a line drive to left fielder Daulton Varsho. Joey Wiemer scores. Christian Yelich scores.
42140|32|force_out|547001|605200|Cody Poteet grounds into a force out, fielded by shortstop Javier Baez. Jon Berti out at 2nd.
21760|32|force_out|547001|605200|Cody Poteet grounds into a force out, fielded by shortstop Javier Baez. Jon Berti out at 2nd.
33259|5|force_out|665161|663776|Jeremy Pena grounds into a force out, second baseman Brandon Drury to shortstop Livan Soto. Mauricio Dubon out at 2nd. Jeremy Pena to 1st.
36203|16|field_out|543510|650893|James McCann out to catcher Danny Jansen. James McCann out on batter interference.
42226|25|force_out|575929|621111|Willson Contreras grounds into a force out, third baseman Chris Taylor to second baseman Max Muncy. Anthony Rizzo out at 2nd. Willson Contreras to 1st.
21846|25|force_out|575929|621111|Willson Contreras grounds into a force out, third baseman Chris Taylor to second baseman Max Muncy. Anthony Rizzo out at 2nd. Willson Contreras to 1st.
30396|57|sac_bunt|670032|605154|Nicky Lopez out on a sacrifice bunt, pitcher John Brebbia to second baseman Thairo Estrada. Andrew Benintendi to 3rd.
33331|49|field_out|553882|543859|Omar Narvaez lines out sharply to center fielder Michael Harris II.
30433|40|field_out|608336|666201|Joey Gallo flies out to center fielder George Springer. Gleyber Torres to 3rd.
33376|23|force_out|670223|663941|Matt Mervis grounds into a force out, second baseman Thairo Estrada to shortstop Casey Schmitt. Dansby Swanson to 3rd. Yan Gomes out at 2nd. Matt Mervis to 1st.
30491|16|single|605244|542881|Aramis Garcia singles on a sharp ground ball to shortstop Trea Turner. Donovan Solano scores. Albert Almora Jr. to 3rd. Aramis Garcia to 2nd. Throwing error by shortstop Trea Turner.
42354|27|sac_fly|592669|608344|Hunter Renfroe out on a sacrifice fly to center fielder Ramon Laureano. Rafael Devers scores.
21974|27|sac_fly|592669|608344|Hunter Renfroe out on a sacrifice fly to center fielder Ramon Laureano. Rafael Devers scores.
21985|22|field_out|657757|666159|Gavin Sheets grounds out, second baseman Harold Castro to first baseman Jonathan Schoop. Tim Anderson to 2nd.
42365|22|field_out|657757|666159|Gavin Sheets grounds out, second baseman Harold Castro to first baseman Jonathan Schoop. Tim Anderson to 2nd.
30575|38|double|592273|624522|Brandon Drury doubles (14) on a soft line drive to right fielder Rafael Ortega. Jonathan India scores.
33522|55|field_out|622534|621139|Manuel Margot grounds out softly to first baseman Nick Pratto. Vidal Brujan to 2nd.
42480|50|field_out|607208|663978|Trea Turner grounds out, catcher Victor Caratini to first baseman Eric Hosmer.
22100|50|field_out|607208|663978|Trea Turner grounds out, catcher Victor Caratini to first baseman Eric Hosmer.
33551|68|field_out|643565|669467|Mike Tauchman lines out to left fielder Brendan Donovan.
22154|39|field_out|600869|502043|Jeimer Candelario grounds out sharply, shortstop Isiah Kiner-Falefa to first baseman Nate Lowe.
42534|39|field_out|600869|502043|Jeimer Candelario grounds out sharply, shortstop Isiah Kiner-Falefa to first baseman Nate Lowe.
22161|37|force_out|572039|660761|Stephen Piscotty grounds into a force out, shortstop Jose Iglesias to second baseman David Fletcher. Sean Murphy out at 2nd.
42541|37|force_out|572039|660761|Stephen Piscotty grounds into a force out, shortstop Jose Iglesias to second baseman David Fletcher. Sean Murphy out at 2nd.
36521|66|double|518934|670950|DJ LeMahieu doubles (1) on a sharp line drive to left fielder Davis Schneider. Alex Verdugo scores.
22184|48|field_out|663897|458677|Luke Williams grounds out, shortstop Gleyber Torres to first baseman DJ LeMahieu.
42564|48|field_out|663897|458677|Luke Williams grounds out, shortstop Gleyber Torres to first baseman DJ LeMahieu.
22336|6|force_out|663993|594835|Nathaniel Lowe grounds into a force out, fielded by shortstop J. P. Crawford. Adolis Garcia out at 2nd.
