135.85|17.31|home_run
109.12|64.88|field_out
67.97|104.86|field_out
155.06|153.1|field_out
126.0|204.5|single
42.33|119.88|field_out
163.93|92.05|single
180.32|111.1|single
64.41|126.74|field_out
100.54|54.66|field_out
52.77|78.06|field_out
76.41|143.57|field_out
158.58|157.76|field_out
157.01|101.01|single
159.98|147.93|field_out
109.7|133.97|field_out
203.52|95.23|field_out
75.26|103.13|field_out
164.24|106.9|single
204.3|116.02|double
154.34|140.05|grounded_into_double_play
159.24|168.01|field_out
89.61|133.09|field_out
103.96|168.76|single
153.25|173.32|field_out
100.22|121.47|single
111.02|49.6|double
45.66|112.41|single
155.84|96.6|field_out
139.78|149.22|field_out
147.96|172.87|grounded_into_double_play
157.74|40.43|home_run
35.64|102.53|field_out
108.92|148.01|field_out
86.68|82.01|field_out
156.38|154.72|field_out
136.61|78.21|single
78.31|56.51|field_out
105.7|144.08|field_out
101.72|54.97|field_out
89.66|43.86|field_out
69.88|120.38|single
147.49|145.92|field_out
103.35|158.62|field_out
96.61|92.3|single
101.69|98.78|field_out
63.54|115.54|field_out
199.66|82.82|home_run
228.87|92.68|home_run
81.85|102.51|single
145.95|151.52|field_out
84.02|107.91|field_out
89.98|97.82|field_out
228.35|63.27|home_run
159.67|164.7|field_out
180.87|93.7|field_out
194.71|99.99|field_out
67.66|98.34|field_out
214.13|93.27|double
156.5|55.95|double
107.11|145.79|field_out
124.45|114.01|field_out
151.53|153.55|field_out
101.33|155.07|single
168.8|160.96|field_out
56.69|75.0|field_out
186.17|93.59|field_out
91.81|117.41|single
106.42|163.37|field_out
157.81|157.76|field_out
112.29|164.35|field_out
62.54|111.02|field_out
132.75|155.05|field_out
89.79|55.96|double
158.4|165.36|field_out
145.88|154.8|force_out
140.31|157.34|field_out
129.08|61.53|field_out
133.22|143.15|field_out
200.51|98.27|field_out
137.68|50.55|field_out
154.87|170.28|field_out
132.08|181.22|single
68.45|93.6|field_out
191.17|125.88|double
161.25|69.32|field_out
56.18|123.79|field_out
146.15|95.23|single
76.75|107.91|field_out
158.97|161.15|field_out
170.97|83.28|single
173.99|84.55|field_out
108.26|164.7|field_out
152.88|169.77|field_out
46.6|75.82|home_run
169.2|125.11|single
103.5|54.84|field_out
121.92|89.35|field_out
147.07|138.59|double_play
186.78|120.77|single
107.3|92.13|single
152.32|152.19|field_out
100.05|102.67|double
61.75|101.78|field_out
104.82|59.22|sac_fly
50.42|89.75|field_out
57.99|71.37|field_out
154.67|157.4|field_out
149.23|168.58|field_out
186.78|101.52|field_out
60.65|62.58|double
69.31|96.1|field_out
160.79|33.5|home_run
144.43|100.83|single
109.33|150.94|field_out
65.14|77.09|field_out
157.38|163.18|field_out
187.63|62.55|field_out
190.53|136.76|double
113.1|109.65|single
142.15|144.31|field_out
135.3|143.41|field_out
101.46|80.29|field_out
150.57|81.86|single
154.54|168.76|field_out
88.11|117.04|single
174.31|127.69|single
145.44|86.61|single
36.52|100.11|double
135.81|143.41|field_out
145.71|157.64|field_out
147.49|86.68|single
124.45|143.57|field_out
128.0|95.94|single
77.77|107.52|single
127.27|71.62|sac_fly
144.31|131.23|field_out
55.03|118.24|double
142.11|81.46|single
157.11|169.57|field_out
110.26|165.58|field_out
156.72|54.49|double
177.32|107.85|single
131.23|21.98|home_run
172.59|85.81|field_out
142.69|156.75|field_out
148.0|163.54|field_out
50.22|85.56|field_out
56.4|121.18|double
197.93|108.61|field_out
174.9|78.94|field_out
174.06|65.54|field_out
156.84|150.06|field_out
71.19|84.29|field_out
148.61|144.75|field_error
133.97|53.86|field_out
137.85|78.98|single
113.32|86.13|single
198.56|86.97|field_out
161.17|64.24|field_out
67.89|88.31|field_out
121.25|78.57|field_out
184.76|50.85|home_run
164.89|159.42|field_out
72.0|169.19|field_out
118.6|155.28|field_out
159.75|167.38|field_out
90.93|140.29|field_out
162.83|137.63|field_out
150.01|180.42|double_play
120.53|96.75|single
84.24|95.67|field_out
99.3|86.61|single
181.95|124.14|single
143.41|160.65|field_out
157.75|165.21|field_out
181.45|118.77|single
119.8|190.46|field_out
158.61|158.69|field_out
110.76|152.64|field_out
176.41|90.42|field_out
105.31|159.23|field_out
53.27|63.55|home_run
78.33|63.31|double
92.21|39.97|double
85.56|67.42|double
83.46|175.5|field_out
169.52|155.19|field_out
157.41|133.32|single
107.95|160.14|grounded_into_double_play
217.51|97.85|double
152.45|162.17|field_out
71.15|77.76|field_out
76.51|49.21|field_out
66.17|126.16|double
211.64|81.54|home_run
149.0|43.0|double
45.88|74.33|home_run
138.65|171.3|double_play
170.59|127.69|double
165.04|39.73|home_run
140.19|153.04|fielders_choice
133.78|139.35|field_out
217.38|116.02|double
169.14|63.1|double
147.88|157.43|field_out
187.21|114.0|single
152.8|145.88|field_out
229.2|53.16|home_run
163.48|166.9|field_out
122.04|180.65|field_out
91.79|128.74|field_out
60.65|77.81|field_out
150.3|170.94|field_out
153.34|164.35|field_out
156.38|153.71|field_out
180.32|35.36|home_run
136.61|151.18|field_out
131.04|142.05|field_out
143.85|138.12|field_out
