game_id,at_bat_index,event_type,batter_id,pitcher_id,event_description,coord_x,coord_y,savant_url
21104,13,field_out,666185,502239,"Dylan Carlson bunt grounds out, pitcher Trevor Cahill to first baseman Colin Moran.",,,https://baseballsavant.mlb.com/savant-player/666185?stats=statcast-r-hitting-mlb&season=2021
41254,48,field_out,624513,624647,"Dom Nunez grounds out, shortstop Corey Seager to first baseman Max Muncy. Sam Hilliard to 2nd.",,,https://baseballsavant.mlb.com/savant-player/624513?stats=statcast-r-hitting-mlb&season=2041
21119,68,field_out,628711,519455,Julio Urias flies out to right fielder Avisail Garcia.,,,https://baseballsavant.mlb.com/savant-player/628711?stats=statcast-r-hitting-mlb&season=2021
32596,43,field_out,669222,686842,Nick Senzel flies out to right fielder Nick Castellanos.,,,https://baseballsavant.mlb.com/savant-player/669222?stats=statcast-r-hitting-mlb&season=2032
21138,7,double,621453,608566,Steven Duggar doubles (2) on a line drive to center fielder Garrett Hampson. Brandon Crawford scores. Jason Vosler to 3rd.,,,https://baseballsavant.mlb.com/savant-player/621453?stats=statcast-r-hitting-mlb&season=2021
38387,50,double,596019,668716,Francisco Lindor doubles (3) on a soft line drive to center fielder Seth Brown. Luisangel Acuña scores.,,,https://baseballsavant.mlb.com/savant-player/596019?stats=statcast-r-hitting-mlb&season=2038
38407,5,field_out,692225,686752,Kristian Campbell out to catcher Ben Rortvedt. Kristian Campbell out on batter interference.,,,https://baseballsavant.mlb.com/savant-player/692225?stats=statcast-r-hitting-mlb&season=2038
41562,56,single,519058,661403,Mike Moustakas singles on a ground ball to left fielder Eddie Rosario. Nick Castellanos scores.,,,https://baseballsavant.mlb.com/savant-player/519058?stats=statcast-r-hitting-mlb&season=2041
21182,56,single,519058,661403,Mike Moustakas singles on a ground ball to left fielder Eddie Rosario. Nick Castellanos scores.,,,https://baseballsavant.mlb.com/savant-player/519058?stats=statcast-r-hitting-mlb&season=2021
38454,75,field_out,669127,656730,"Shea Langeliers grounds out softly, catcher William Contreras to first baseman Rhys Hoskins. Shea Langeliers out at 1st.",,,https://baseballsavant.mlb.com/savant-player/669127?stats=statcast-r-hitting-mlb&season=2038
29908,71,single,643446,502179,Jeff McNeil singles on a line drive to left fielder Lane Thomas. Eduardo Escobar to 2nd.,,,https://baseballsavant.mlb.com/savant-player/643446?stats=statcast-r-hitting-mlb&season=2029
29903,83,triple,592885,664294,Christian Yelich triples (1) on a sharp line drive to right fielder Tyler Naquin.,,,https://baseballsavant.mlb.com/savant-player/592885?stats=statcast-r-hitting-mlb&season=2029
