player_id,team_name,season,games_batting_ninth,avg_avg,avg_obp,avg_slg,avg_ops,total_rbi,total_runs
543063,San Francisco Giants,2021,22,0.316,0.386,0.456,0.842,14.0,10.0
593871,Minnesota Twins,2021,22,0.352,0.406,0.614,1.02,15.0,18.0
614177,Cleveland Guardians,2021,22,0.377,0.455,0.766,1.221,23.0,15.0
641680,Texas Rangers,2023,22,0.164,0.256,0.247,0.503,8.0,4.0
650391,Chicago White Sox,2023,22,0.349,0.4,0.494,0.894,16.0,9.0
656716,Detroit Tigers,2023,22,0.194,0.247,0.319,0.566,3.0,8.0
664023,Chicago Cubs,2025,22,0.158,0.304,0.25,0.554,5.0,6.0
669289,Toronto Blue Jays,2022,22,0.257,0.316,0.329,0.644,4.0,6.0
678225,Pittsburgh Pirates,2023,22,0.253,0.333,0.36,0.693,7.0,14.0
543105,San Francisco Giants,2021,21,0.167,0.231,0.313,0.543,6.0,6.0
546318,Philadelphia Phillies,2021,21,0.295,0.333,0.409,0.742,5.0,13.0
592192,Athletics,2021,21,0.247,0.375,0.397,0.772,8.0,15.0
600869,Detroit Tigers,2021,21,0.19,0.264,0.329,0.593,9.0,8.0
621020,Atlanta Braves,2022,21,0.273,0.319,0.443,0.762,15.0,15.0
621035,Los Angeles Dodgers,2021,21,0.222,0.309,0.444,0.753,12.0,12.0
630105,San Diego Padres,2023,21,0.234,0.298,0.481,0.778,11.0,7.0
642133,Milwaukee Brewers,2023,21,0.242,0.315,0.439,0.754,10.0,4.0
642715,Milwaukee Brewers,2023,21,0.192,0.267,0.397,0.665,10.0,8.0
663757,New York Yankees,2025,21,0.177,0.316,0.38,0.696,8.0,11.0
666969,Texas Rangers,2022,21,0.244,0.286,0.384,0.669,9.0,5.0
668227,Tampa Bay Rays,2021,21,0.308,0.379,0.474,0.854,9.0,18.0
669257,Los Angeles Dodgers,2023,21,0.316,0.426,0.506,0.932,18.0,15.0
671213,Boston Red Sox,2023,21,0.238,0.368,0.492,0.86,9.0,10.0
673357,Chicago White Sox,2023,21,0.197,0.237,0.368,0.606,6.0,8.0
677551,Tampa Bay Rays,2023,21,0.303,0.34,0.472,0.812,12.0,10.0
680574,Cincinnati Reds,2023,21,0.217,0.316,0.349,0.665,7.0,13.0
592669,Boston Red Sox,2021,20,0.222,0.273,0.403,0.676,12.0,7.0
605612,Detroit Tigers,2021,20,0.213,0.262,0.311,0.573,7.0,6.0
605612,Detroit Tigers,2022,20,0.254,0.264,0.38,0.644,7.0,9.0
620443,Seattle Mariners,2021,20,0.231,0.315,0.554,0.869,21.0,7.0
624585,Miami Marlins,2023,20,0.234,0.289,0.429,0.718,9.0,11.0
624641,Philadelphia Phillies,2023,20,0.19,0.215,0.286,0.501,4.0,8.0
641857,Colorado Rockies,2023,20,0.216,0.318,0.338,0.655,6.0,6.0
657077,Boston Red Sox,2021,20,0.329,0.376,0.481,0.857,13.0,13.0
663757,New York Yankees,2026,20,0.171,0.293,0.386,0.678,9.0,11.0
665489,Toronto Blue Jays,2021,20,0.378,0.446,0.72,1.165,26.0,17.0
671277,Washington Nationals,2023,20,0.233,0.263,0.288,0.551,7.0,9.0
672515,Arizona Diamondbacks,2023,20,0.281,0.361,0.438,0.799,12.0,5.0
672695,Arizona Diamondbacks,2023,20,0.242,0.319,0.29,0.609,5.0,11.0
676475,St. Louis Cardinals,2023,20,0.212,0.257,0.348,0.606,7.0,7.0
680718,Toronto Blue Jays,2025,20,0.26,0.316,0.521,0.837,18.0,9.0
683734,Chicago White Sox,2023,20,0.288,0.307,0.507,0.814,17.0,8.0
691016,Athletics,2026,20,0.247,0.329,0.479,0.809,8.0,6.0
695657,Chicago White Sox,2025,20,0.26,0.325,0.493,0.818,15.0,7.0
695657,Chicago White Sox,2026,20,0.191,0.267,0.412,0.678,12.0,7.0
